x,y
1.9902521442340713,0.0018735074997484058
1.7419690179630107,0.05618796429484346
1.2302386511315249,0.17052096146916107
0.5600358238672773,0.29632171034516985
-0.1684506165808875,0.38002371315287065
-0.8646199475037143,0.38747589542186534
-1.4485457739162197,0.31350416126511094
-1.853440699173606,0.18075538565004168
-2.029048490284582,0.03154938341911244
-1.9445948842503018,-0.08533950928647888
-1.5915289737121698,-0.13181128404980635
-0.9891873688589139,-0.09894757663246045
-0.198126492500252,-0.0188200592033807
0.6618694704815846,0.047049103925236424
1.415212440582886,0.05316250540155576
1.8879656985207074,0.016494137327828062
1.9902521442340713,0.0018735074997484058
